year,usa_biofuels_waste,usa_coal,usa_hydropower,usa_natural_gas,usa_nuclear,usa_oil,usa_solar_wind_renewables,canada_biofuels_waste,canada_coal,canada_hydropower,canada_natural_gas,canada_nuclear,canada_oil,canada_solar_wind_renewables,uk_biofuels_waste,uk_coal,uk_hydropower,uk_natural_gas,uk_nuclear,uk_oil,uk_solar_wind_renewables
2011,3836841.0,20012108.0,1158238.0,23812993.0,8960781.0,32700212.0,903279.0,512929.0,872131.0,1352469.0,3518375.0,1020970.0,3908877.0,40552.0,260849.0,1285723.0,20490.0,2945127.0,752513.0,2529506.0,59636.0
2012,3885775.0,17737516.0,1002639.0,24907509.0,8739589.0,32317081.0,1002118.0,516585.0,816052.0,1368824.0,3513419.0,1034858.0,3974367.0,45473.0,266874.0,1631271.0,19114.0,2779422.0,768055.0,2493935.0,77720.0
2013,4183326.0,18094904.0,975081.0,25395330.0,8967316.0,32389117.0,1132316.0,555988.0,805621.0,1410300.0,3620358.0,1128425.0,3858642.0,71729.0,300223.0,1560184.0,16925.0,2754236.0,770256.0,2390162.0,110929.0
2014,4292757.0,18072073.0,941302.0,26276307.0,9060916.0,32367234.0,1236979.0,565747.0,855380.0,1376866.0,3642721.0,1170327.0,4005048.0,90380.0,354432.0,1262044.0,21196.0,2509551.0,695432.0,2441067.0,131154.0
2015,4183390.0,15660181.0,903664.0,27067980.0,9057687.0,33056355.0,1312775.0,540882.0,773528.0,1375758.0,3542901.0,1110643.0,4257807.0,109104.0,409374.0,1001223.0,22670.0,2590985.0,767398.0,2520342.0,173636.0
2016,4152602.0,14300841.0,970812.0,27334911.0,9162741.0,32837869.0,1491265.0,548205.0,733016.0,1387418.0,4335976.0,1106498.0,4005769.0,123994.0,447178.0,510456.0,19333.0,2848085.0,782466.0,2564018.0,172736.0
2017,4126342.0,13847655.0,1088504.0,26960229.0,9151214.0,33087374.0,1661988.0,578502.0,753908.0,1420372.0,4659141.0,1105079.0,4088124.0,127166.0,472982.0,414830.0,21174.0,2811303.0,767306.0,2581538.0,221515.0
2018,4393036.0,13426291.0,1063803.0,29054726.0,9178130.0,33566263.0,1841813.0,565532.0,597687.0,1389081.0,4888854.0,1098883.0,4166927.0,134934.0,536475.0,347702.0,19595.0,2830631.0,709787.0,2539963.0,252296.0
2019,4445624.0,11510279.0,1043274.0,31078534.0,9199964.0,33293509.0,1934725.0,555093.0,517685.0,1374235.0,4923069.0,1103967.0,4359647.0,133663.0,566183.0,247398.0,21358.0,2750355.0,612915.0,2468124.0,276278.0
2020,4108850.0,9280479.0,1033702.0,30104803.0,8979813.0,29400955.0,2180848.0,502479.0,409366.0,1391421.0,4704098.0,1071218.0,3917266.0,145180.0,582648.0,225128.0,24761.0,2628873.0,548062.0,2082496.0,319408.0
2021,4383684.0,10635146.0,912523.0,30274618.0,8853288.0,31968560.0,2455808.0,538527.0,469428.0,1376607.0,4694250.0,1010498.0,3975128.0,154116.0,608710.0,229838.0,19506.0,2756321.0,502951.0,2181718.0,279308.0
2022,4395527.0,10016167.0,923764.0,32292088.0,8767293.0,31721656.0,2798738.0,565136.0,335473.0,1431669.0,4977785.0,951698.0,4113893.0,164156.0,599612.0,210995.0,20378.0,2519385.0,517095.0,2192260.0,340253.0
2023,4702816.0,8447571.0,888324.0,32042963.0,8815373.0,31889337.0,2879840.0,571739.0,355106.0,1298516.0,5003949.0,971421.0,4039179.0,172674.0,602025.0,182086.0,19935.0,2252898.0,442866.0,2164221.0,351522.0
2024,4458288.0,8005703.0,878518.0,32561342.0,8896952.0,32561614.0,3144774.0,576766.0,374711.0,1235375.0,4977273.0,938901.0,4114652.0,197892.0,603875.0,97205.0,20751.0,2207144.0,442776.0,2146689.0,363848.0
